location,chamber,surface_type,trigger,current_copy,defect,replacement,status,verification_result
macos/Sources/Atrium/Views/OnboardingView.swift:196,user,native application,rendered or emitted by the containing control or operation,"New: the Company Hub adds shared context, agents, and company-wide search.",None after audit.,"New: the Company Hub adds shared context, agents, and company-wide search.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:214,user,native application,rendered or emitted by the containing control or operation,Record live or import audio,None after audit.,Record live or import audio,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:219,user,native application,rendered or emitted by the containing control or operation,"Transcript, summary, and notes",None after audit.,"Transcript, summary, and notes",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:224,user,native application,rendered or emitted by the containing control or operation,Get answers with citations,None after audit.,Get answers with citations,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:228,user,native application,rendered or emitted by the containing control or operation,Write by voice in any app,None after audit.,Write by voice in any app,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:246,user,native application,rendered or emitted by the containing control or operation,Choose the access each feature needs,None after audit.,Choose the access each feature needs,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:248,user,native application,rendered or emitted by the containing control or operation,Atrium asks for access only when a feature needs it. Grant what you like now — everything can wait until later in Settings.,None after audit.,Atrium asks for access only when a feature needs it. Grant what you like now — everything can wait until later in Settings.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:254,user,native application,rendered or emitted by the containing control or operation,Needed to record meetings and dictate.,None after audit.,Needed to record meetings and dictate.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:263,user,native application,rendered or emitted by the containing control or operation,Speech Recognition,None after audit.,Speech Recognition,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:264,user,native application,rendered or emitted by the containing control or operation,Transcribes speech on this Mac — audio never leaves the device.,None after audit.,Transcribes speech on this Mac — audio never leaves the device.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:273,user,native application,rendered or emitted by the containing control or operation,System Audio,None after audit.,System Audio,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:274,user,native application,rendered or emitted by the containing control or operation,Captures the other side of calls. Opens System Settings.,None after audit.,Captures the other side of calls. Opens System Settings.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:275,user,native application,rendered or emitted by the containing control or operation,Open Settings,None after audit.,Open Settings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:281,user,native application,rendered or emitted by the containing control or operation,x-apple.systempreferences:com.apple.preference.security?Privacy_ScreenCapture,None after audit.,x-apple.systempreferences:com.apple.preference.security?Privacy_ScreenCapture,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:290,user,native application,rendered or emitted by the containing control or operation,Permissions are optional and can be changed later in System Settings.,None after audit.,Permissions are optional and can be changed later in System Settings.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:303,user,native application,rendered or emitted by the containing control or operation,Earlier meetings,None after audit.,Earlier meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:304,user,native application,rendered or emitted by the containing control or operation,Atrium found meetings from before,None after audit.,Atrium found meetings from before,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:306,user,native application,rendered or emitted by the containing control or operation,"An earlier Atrium installation left meeting data on this Mac. Take it back and your meetings, transcripts, notes, summaries, and speaker names return with their recordings.",None after audit.,"An earlier Atrium installation left meeting data on this Mac. Take it back and your meetings, transcripts, notes, summaries, and speaker names return with their recordings.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:318,user,native application,rendered or emitted by the containing control or operation,Meetings you already have stay as they are. Nothing is removed from the earlier folder.,None after audit.,Meetings you already have stay as they are. Nothing is removed from the earlier folder.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:333,user,native application,rendered or emitted by the containing control or operation,Company Hub,None after audit.,Company Hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:334,user,native application,rendered or emitted by the containing control or operation,Join the shared workspace,None after audit.,Join the shared workspace,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:336,user,native application,rendered or emitted by the containing control or operation,"The hub is where the team — and the company agents — share context. Your meetings stay private unless you share them, one at a time.",None after audit.,"The hub is where the team — and the company agents — share context. Your meetings stay private unless you share them, one at a time.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:346,user,native application,rendered or emitted by the containing control or operation,Your profile in the hub,None after audit.,Your profile in the hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:350,user,native application,rendered or emitted by the containing control or operation,Your name,None after audit.,Your name,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:352,user,native application,rendered or emitted by the containing control or operation,Role — e.g. Product Lead,None after audit.,Role — e.g. Product Lead,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:354,user,native application,rendered or emitted by the containing control or operation,Shown in People and next to anything you share.,None after audit.,Shown in People and next to anything you share.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:363,user,native application,rendered or emitted by the containing control or operation,Appear in People,None after audit.,Appear in People,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:364,user,native application,rendered or emitted by the containing control or operation,"Your name, role, and status are visible to the team.",None after audit.,"Your name, role, and status are visible to the team.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:369,user,native application,rendered or emitted by the containing control or operation,Show my shares in Activity,None after audit.,Show my shares in Activity,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:370,user,native application,rendered or emitted by the containing control or operation,"When you share a meeting, it appears in the company feed.",None after audit.,"When you share a meeting, it appears in the company feed.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:375,user,native application,rendered or emitted by the containing control or operation,Let agents read what I share,None after audit.,Let agents read what I share,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:376,user,native application,rendered or emitted by the containing control or operation,Openclaw and Hermes can use your shared items — never local ones.,None after audit.,Openclaw and Hermes can use your shared items — never local ones.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:38,user,native application,rendered or emitted by the containing control or operation,Set up in about a minute,None after audit.,Set up in about a minute,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:387,user,native application,rendered or emitted by the containing control or operation,"Sharing a meeting to the hub is always a separate, explicit action — never automatic.",None after audit.,"Sharing a meeting to the hub is always a separate, explicit action — never automatic.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:39,user,native application,rendered or emitted by the containing control or operation,Step \(currentIndex + 1) of \(steps.count) — \(step.caption),None after audit.,Step \(currentIndex + 1) of \(steps.count) — \(step.caption),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:413,user,native application,rendered or emitted by the containing control or operation,"Recordings, transcripts, notes, and searches stay on this Mac. Atrium asks before anything leaves it.",None after audit.,"Recordings, transcripts, notes, and searches stay on this Mac. Atrium asks before anything leaves it.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:445,user,native application,rendered or emitted by the containing control or operation,"Your workspace is ready, \(firstName)",None after audit.,"Your workspace is ready, \(firstName)",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:447,user,native application,rendered or emitted by the containing control or operation,Your local workspace is ready,None after audit.,Your local workspace is ready,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:456,user,native application,rendered or emitted by the containing control or operation,\(theme.title) workspace,None after audit.,\(theme.title) workspace,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:457,user,native application,rendered or emitted by the containing control or operation,\(permissions.grantedCount) of 3 permissions granted,None after audit.,\(permissions.grantedCount) of 3 permissions granted,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:460,user,native application,rendered or emitted by the containing control or operation,GitHub not connected,None after audit.,GitHub not connected,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:461,user,native application,rendered or emitted by the containing control or operation,GitHub: @\(githubLogin) · \(githubOrganization),None after audit.,GitHub: @\(githubLogin) · \(githubOrganization),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:463,user,native application,rendered or emitted by the containing control or operation,Hidden from People,None after audit.,Hidden from People,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:463,user,native application,rendered or emitted by the containing control or operation,Visible in People,None after audit.,Visible in People,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:464,user,native application,rendered or emitted by the containing control or operation,"Sharing: per-meeting, opt-in",None after audit.,"Sharing: per-meeting, opt-in",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:506,user,native application,rendered or emitted by the containing control or operation,You can also do this later in Settings.,None after audit.,You can also do this later in Settings.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:507,user,native application,rendered or emitted by the containing control or operation,Your earlier meetings are in the sidebar.,None after audit.,Your earlier meetings are in the sidebar.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:514,user,native application,rendered or emitted by the containing control or operation,You can change all of this in Settings.,None after audit.,You can change all of this in Settings.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:515,user,native application,rendered or emitted by the containing control or operation,Joining the hub needs a company GitHub identity — or skip for now.,None after audit.,Joining the hub needs a company GitHub identity — or skip for now.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:523,user,native application,rendered or emitted by the containing control or operation,Skip for now,None after audit.,Skip for now,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:527,user,native application,rendered or emitted by the containing control or operation,Start Using Atrium,None after audit.,Start Using Atrium,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:574,user,native application,rendered or emitted by the containing control or operation,Earlier meetings,None after audit.,Earlier meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:575,user,native application,rendered or emitted by the containing control or operation,Your workspace,None after audit.,Your workspace,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:577,user,native application,rendered or emitted by the containing control or operation,Company Hub,None after audit.,Company Hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:585,user,native application,rendered or emitted by the containing control or operation,meetings from before,None after audit.,meetings from before,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:586,user,native application,rendered or emitted by the containing control or operation,what Atrium does,None after audit.,what Atrium does,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:588,user,native application,rendered or emitted by the containing control or operation,the shared hub,None after audit.,the shared hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:589,user,native application,rendered or emitted by the containing control or operation,all set,None after audit.,all set,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:650,user,native application,rendered or emitted by the containing control or operation,\(Self.meetings(restored.importedMeetingCount)) restored,None after audit.,\(Self.meetings(restored.importedMeetingCount)) restored,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:652,user,native application,rendered or emitted by the containing control or operation,No earlier meetings found,None after audit.,No earlier meetings found,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:653,user,native application,rendered or emitted by the containing control or operation,\(Self.meetings(installation.importableMeetingCount)) found,None after audit.,\(Self.meetings(installation.importableMeetingCount)) found,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:662,user,native application,rendered or emitted by the containing control or operation,1 recording,None after audit.,1 recording,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:663,user,native application,rendered or emitted by the containing control or operation,\(restored.copiedRecordingCount) recordings,None after audit.,\(restored.copiedRecordingCount) recordings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:664,user,native application,rendered or emitted by the containing control or operation,\(recordings) copied into your recordings folder,None after audit.,\(recordings) copied into your recordings folder,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:667,user,native application,rendered or emitted by the containing control or operation,\(restored.skippedMeetingCount) you already had were left alone,None after audit.,\(restored.skippedMeetingCount) you already had were left alone,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:672,user,native application,rendered or emitted by the containing control or operation,Atrium found no meeting data from an earlier installation.,None after audit.,Atrium found no meeting data from an earlier installation.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:674,user,native application,rendered or emitted by the containing control or operation,\(installation.transcriptCount) transcript segments,None after audit.,\(installation.transcriptCount) transcript segments,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:676,user,native application,rendered or emitted by the containing control or operation,"most recent \(latest.formatted(date: .abbreviated, time: .omitted))",None after audit.,"most recent \(latest.formatted(date: .abbreviated, time: .omitted))",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:682,user,native application,rendered or emitted by the containing control or operation,1 meeting,None after audit.,1 meeting,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:682,user,native application,rendered or emitted by the containing control or operation,\(count) meetings,None after audit.,\(count) meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:736,user,native application,rendered or emitted by the containing control or operation,Check Again,None after audit.,Check Again,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:777,user,native application,rendered or emitted by the containing control or operation,GitHub identity,None after audit.,GitHub identity,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:779,user,native application,rendered or emitted by the containing control or operation,GitHub CLI not found,None after audit.,GitHub CLI not found,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:781,user,native application,rendered or emitted by the containing control or operation,GitHub sign-in required,None after audit.,GitHub sign-in required,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:783,user,native application,rendered or emitted by the containing control or operation,@\(identity.login) is not in a company organization,None after audit.,@\(identity.login) is not in a company organization,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:785,user,native application,rendered or emitted by the containing control or operation,Signed in as @\(identity.login) · \(organization),None after audit.,Signed in as @\(identity.login) · \(organization),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:792,user,native application,rendered or emitted by the containing control or operation,Checking the GitHub CLI on this Mac.,None after audit.,Checking the GitHub CLI on this Mac.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:794,user,native application,rendered or emitted by the containing control or operation,"Install the GitHub CLI (gh), then check again.",None after audit.,"Install the GitHub CLI (gh), then check again.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:796,user,native application,rendered or emitted by the containing control or operation,"Run “gh auth login” in Terminal, then check again.",None after audit.,"Run “gh auth login” in Terminal, then check again.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:798,user,native application,rendered or emitted by the containing control or operation,The hub needs membership in Ubundi or first-motive on GitHub.,None after audit.,The hub needs membership in Ubundi or first-motive on GitHub.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:800,user,native application,rendered or emitted by the containing control or operation,Your company GitHub identity connects you to the hub.,None after audit.,Your company GitHub identity connects you to the hub.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:15,user,native application,rendered or emitted by the containing control or operation,Earlier Atrium meetings found,None after audit.,Earlier Atrium meetings found,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:25,user,native application,rendered or emitted by the containing control or operation,Restoring earlier Atrium meetings,None after audit.,Restoring earlier Atrium meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:27,user,native application,rendered or emitted by the containing control or operation,Not Now,None after audit.,Not Now,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:28,user,native application,rendered or emitted by the containing control or operation,Restore Meetings,None after audit.,Restore Meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:43,user,native application,rendered or emitted by the containing control or operation,1 meeting,None after audit.,1 meeting,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:43,user,native application,rendered or emitted by the containing control or operation,\(count) meetings,None after audit.,\(count) meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/PreviousInstallationBanner.swift:44,user,native application,rendered or emitted by the containing control or operation,Restore \(meetings) from the earlier installation. Existing meetings stay unchanged.,None after audit.,Restore \(meetings) from the earlier installation. Existing meetings stay unchanged.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/RecordingControlsView.swift:11,user,native application,rendered or emitted by the containing control or operation,Start Recording,None after audit.,Start Recording,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/RecordingControlsView.swift:32,user,native application,rendered or emitted by the containing control or operation,Importing audio,None after audit.,Importing audio,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/RecordingControlsView.swift:33,user,native application,rendered or emitted by the containing control or operation,Cancel Import,None after audit.,Cancel Import,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/RecordingMeterView.swift:18,user,native application,rendered or emitted by the containing control or operation,Recording level,None after audit.,Recording level,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift,user,settings,"General, Appearance, Transcription, Summary, About",System errors | Test notification sent | Database | canonical dark aubergine workspace | Apple on-device speech | Native Swift,"Technical, misleading, or design-system language appeared in normal settings.",Problems that need attention | Test notification queued | Meeting data | dark purple theme | On this Mac | removed implementation language,verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Views/SettingsView.swift:117,user,native application,rendered or emitted by the containing control or operation,Not allowed,None after audit.,Not allowed,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:118,user,native application,rendered or emitted by the containing control or operation,Not allowed,None after audit.,Not allowed,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:125,user,native application,rendered or emitted by the containing control or operation,x-apple.systempreferences:com.apple.preference.security?\(pane),None after audit.,x-apple.systempreferences:com.apple.preference.security?\(pane),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:132,user,native application,rendered or emitted by the containing control or operation,x-apple.systempreferences:com.apple.Notifications-Settings.extension,None after audit.,x-apple.systempreferences:com.apple.Notifications-Settings.extension,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:140,user,native application,rendered or emitted by the containing control or operation,Not allowed,None after audit.,Not allowed,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:141,user,native application,rendered or emitted by the containing control or operation,Not requested,None after audit.,Not requested,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:148,user,native application,rendered or emitted by the containing control or operation,Not allowed,None after audit.,Not allowed,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:149,user,native application,rendered or emitted by the containing control or operation,Not requested,None after audit.,Not requested,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:157,user,native application,rendered or emitted by the containing control or operation,Not allowed,None after audit.,Not allowed,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:158,user,native application,rendered or emitted by the containing control or operation,Not requested,None after audit.,Not requested,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:175,user,native application,rendered or emitted by the containing control or operation,\(title) status,None after audit.,\(title) status,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:179,user,native application,rendered or emitted by the containing control or operation,Request \(title) access,None after audit.,Request \(title) access,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:200,user,native application,rendered or emitted by the containing control or operation,Recording activity,None after audit.,Recording activity,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:201,user,native application,rendered or emitted by the containing control or operation,Transcription complete,None after audit.,Transcription complete,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:202,user,native application,rendered or emitted by the containing control or operation,Problems that need attention,None after audit.,Problems that need attention,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:203,user,native application,rendered or emitted by the containing control or operation,Notification sound,None after audit.,Notification sound,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:204,user,native application,rendered or emitted by the containing control or operation,Pause non-critical notifications,None after audit.,Pause non-critical notifications,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:206,user,native application,rendered or emitted by the containing control or operation,Send test notification,None after audit.,Send test notification,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:210,user,native application,rendered or emitted by the containing control or operation,Test notification queued,None after audit.,Test notification queued,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:211,user,native application,rendered or emitted by the containing control or operation,Allow notifications to run this test.,None after audit.,Allow notifications to run this test.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:221,user,native application,rendered or emitted by the containing control or operation,Automatic update checks,None after audit.,Automatic update checks,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/SettingsView.swift:241,user,native application,rendered or emitted by the containing control or operation,Data on this Mac,None after audit.,Data on this Mac,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
